Geography,Category,Data_Type,Unit,Price_Type,2021,2022,2023,2024,2025,2026
World,Pet Care,Retail Value RSP,USD million,Current Prices,World,Pet Care,Retail Value RSP,USD million,Current Prices,164.845 178.554 195.104 202.907 213.168 224.664
Eastern Europe,Pet Care,Retail Value RSP,USD million,Current Prices,Eastern Europe,Pet Care,Retail Value RSP,USD million,Current Prices,8.766 10.243 11.118 11.815 13.903 14.445
Latin America,Pet Care,Retail Value RSP,USD million,Current Prices,Latin America,Pet Care,Retail Value RSP,USD million,Current Prices,14.383 16.748 19.754 20.069 20.700 21.857
North America,Pet Care,Retail Value RSP,USD million,Current Prices,North America,Pet Care,Retail Value RSP,USD million,Current Prices,70.292 81.073 88.195 91.949 94.458 98.252
Western Europe,Pet Care,Retail Value RSP,USD million,Current Prices,Western Europe,Pet Care,Retail Value RSP,USD million,Current Prices,37.795 36.568 41.281 43.363 46.517 49.906
