Reg_ICA,Titular,Estado,Producto,Activos,Cantidades,Indicaciones,Precauciones,Laboratorio_Productor,Pais_Origen,Importador,Empaques,Especies,Tiempo_Retiro,Tipo_Medicamento,Estado_Clean,Origen_Clasif
5251-DB,LEBYES S.A,VIGENTE,OSTEOCART 25,"Cada comprimido color rosado de 400 mg. contiene:_x000D_
DL metionina_x000D_
L-cistenia_x000D_
Arginina CIH_x000D_
Histidina_x000D_
Betaina CIH_x000D_
L-glutamina_x000D_
Piridoxina CIH_x000D_
D-glucosamina_x000D_
_x000D_
Cada comprimido verde de 400 mg. contiene:_x000D_
Gluconato de cobre_x000D_
Gluconato de magnesio_x000D_
Gluconato de manganeso_x000D_
Gluconato de zinc anhidro_x000D_
 ","_x000D_
20 mg._x000D_
  5 mg._x000D_
  5 mg._x000D_
  2 mg._x000D_
  2 mg._x000D_
  8 mg._x000D_
  2 mg._x000D_
  8 mg._x000D_
_x000D_
  5 mg._x000D_
 10 mg._x000D_
   8 mg._x000D_
15 mg._x000D_
_x000D_
","En caninos entre 25 kg. estimula la formación del cartílago, coadyuvante en la Osteogénesis en animales en crecimiento. Mejora la hidrofilia y viscosidad del cartílago. En artropatías primarias y secundarias. Acropatias cronicas, Coxoartosis por displacía, Osteoartritis, Espondilitis anquilosante y Espondiloartrosis.",Mantener fuera del alcance de los niños. Uso Veterinario.,No informa.,Argentina.,Carval de Colombia,"Blisters de aluminio/PVC por 90 comprimidos ( 60 rosados y 30 verdes), 135 comprimidos (90 rosados y 45 verdes) y 150 comprimidos (100 rosados y 50 verdes)",Caninos,No aplica.,Cosméticos,VIGENTE,EXTRANJERO (Importado)
5252-DB,LABORATORIOS BAXTER S.A,VIGENTE,SOLUCION INYECTABE DE LACTATO DE RINGER,"Cada 100 mL. contienen:_x000D_
_x000D_
Clorudo de sodio U.S.P._x000D_
Lactato de sodio_x000D_
Clorudo de potasio U.S.P._x000D_
Clorudo de  Calcio U.S.P._x000D_
_x000D_
","_x000D_
_x000D_
600 mg._x000D_
310 mg._x000D_
  30 mg._x000D_
  20 mg._x000D_
","En bovinos, equinos, porcinos, ovinos , caninos  y gatos para Deshidratarciones, Electrolitico, Arcaizante sistémico, perdida de secreciones por vomito y diarreas, hipopotasemia, estados pre y post quirúrgicos.",Uso Veterinario. Mantengase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Bolsas por 50, 100, 500. 1.000, 3.000 y 5.000 mL.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y felinos",No informa,Minerales,VIGENTE,EXTRANJERO (Importado)
5253-DB,LABORATORIOS BAXTER S.A,VIGENTE,SOLUCION INYECTABE AL 50% U.S.P,"Cada 100 mL. contienen:_x000D_
_x000D_
Destrosa hidratada U.S.P.","_x000D_
_x000D_
50 g,","En bovinos, equinos, porcinos, ovinos , caninos  y gatos como solución energética, acetonemia bovina, hipoglicemia y como diurético osmótico.",Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Bolsas por 25, 100, 250, 500, 1.000, 3.000 y 5.000 mL.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos.",No informa,Minerales,VIGENTE,EXTRANJERO (Importado)
5254-DB,LABORATORIOS BAXTER S.A,VIGENTE,AGUA PARA INYECCION U.S.P.,"Cada 100 mL. contienen:_x000D_
_x000D_
Agua estéril para inyección U.S.P.","_x000D_
_x000D_
100 mL.",Dilución de medicameto Veterinarios.,Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Bolsas por 25, 100, 250, 500, 1.000, 3.000 y 5.000 mL.",No informa.,No aplica.,,VIGENTE,EXTRANJERO (Importado)
5255-DB,LABORATORIOS BAXTER S.A,VIGENTE,INYECCION DE DEXTROSA AL 10% U.S.P,"Cada 100 mL. contienen:_x000D_
_x000D_
Dextrosa hidratada U.S.P.","_x000D_
_x000D_
10 g.","En bovinos, equinos, porcinos, ovinos , caninos  y gatos en desnutrición y Caquexia, Hipoglicemia, Convalecencia de enfermedades parasitarias.",Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Envases por 50, 100, 250, 500, 1.000, 3.000 y 5.000 mL.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos.",No aplica.,,VIGENTE,EXTRANJERO (Importado)
5256-DB,LABORATORIOS BAXTER S.A,VIGENTE,"INYECCION DE CLORURO DE SODIO AL 0,9% U.S.P","Cada 100 mL. contienen:_x000D_
_x000D_
Cloruro de sodio_x000D_
(Aproximadamente 308 mOsm/I)","_x000D_
_x000D_
900 mg.","En bovinos, equinos, porcinos, ovinos, caninos y gatos con deficiencias de cloro y sodio por vomito y diarrea. Alcalosis metabólica. Diurético osmótico.",Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Bolsas por 25, 50, 100, 250, 500, 1.000, 3.000 y 5.000 mL.","Bovinos, Equinos, Porcinos, Ovinos, Caninos y Felinos.",No aplica.,,VIGENTE,EXTRANJERO (Importado)
5257-DB,LABORATORIOS BAXTER S.A,VIGENTE,INYECCION DE DEXTROSA AL 5% U.S.P.,"Cada 100 mL. contienen:_x000D_
_x000D_
Destrosa hidratada U.S.P._x000D_
(Equivalente a 4.55 g. de dextrosa anhidra)","_x000D_
_x000D_
_x000D_
5 g.","En bovinos, equinos, porcinos, ovinos, caninos y gatos para el suministro de carbohidratos y agua. Cetosis bovina, Hipoglicemia, Inanición.",Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Envases poe 25, 50, 100, 250, 500, 1.000, 3.000 y 5.000 mL.","Bovinos, Caninos, Equinos, Felinos, Ovinos y Porcinos.",No informa,,VIGENTE,EXTRANJERO (Importado)
5258-DB,LABORATORIOS BAXTER S.A,VIGENTE,INYECCION DE RINGER U.S.P,"Cada 100 mL.contienen:_x000D_
_x000D_
Cloruru de sodio U.S.P._x000D_
Cloruru de potacio U.S.P._x000D_
Cloruru de calcio  U.S.P.","_x000D_
_x000D_
860 mg._x000D_
  30 mg._x000D_
  33 mg.","En bovinos, equinos, porcinos, ovinos , caninos  y gatos para deshidratacion, Electrolítico, Arcaizante sistémico, reemplazo temporal del plasma sanguíneo, Shock traumático o quirúrgico.",Uso Veterinario. Manténgase fuera del alcance de los niño.,No informa.,No informa.,No informa.,"Envases por 25, 100, 250, 500, 1.000, 3.000 o 5.000 mL.","Bovinos, Caninos, Equinos, Felinos, Ovinos y Porcinos.",No informa,,VIGENTE,EXTRANJERO (Importado)
5259-DB,ELANCO EUROPE LTD.,VIGENTE,PULMOTIL 200,"Cada kg de granulado para uso oral contiene:

Tilmicosina (Equivalente a Tilmicosina fosfato 222,6 g)","

200 g","Para el tratamiento y control de neumonía en cerdos causada por Actinobacillus pleuropneumoniae, Mycoplasma hyopneumoniae y Pasteurella multocida.","Uso Veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Venta bajo fórmula del Médico Veterinario.Los animales tratados no deben sacrificarse para consumo humano, hasta siete (7) días después de finalizado el tratamiento. La seguridad de la Tilmicosina no ha sido establecida en cerdos (verracos) destinados a la reproducción. No permitir que los caballos u otros équidos tengan acceso a pienso medicamentoso que contenga Tilmicosina. No usar en caso de hipersensibilidad a la sustancia activa o a algún excipiente. Manténgase a una temperatura inferior a 30°C.","Elanco UK AH Limited, Elanco Speke Operations",Reino Unido.,Elanco Colombia S.A.S.,Bolsa en Polietileno / Poliamida / Polietileno por 10 kg.,Porcinos.,Carne: 7 días,,VIGENTE,EXTRANJERO (Importado)
5260-DB,WOCKHARDT MUMBAI. INDIA ,VIGENTE,SURRANOL PRO-SALT,"Cada frasco por 2.5 g. contiene:

Sulfato de Quinapiramina
Cloruro de Quinapiramina","1.5 g.
1.0 g.","En equinos para el tratamiento de tripanosomiasis causadas por tripanosoma evansi, tripanosoma equinum, tripanosoma hippicum y tripanosoma venezuelense.  En bovinos, ovinos y caprinos para el tratamiento de tripanosomiasis producidas por tripanosoma vivax, tripanosoma brucei, tripanosoma evansi y tripanosoma congolense.

",No administrar a hembras lactantes cuya leche este destinada al consumo humano. Los animales tratados no deben sacrificarse para consumo humano sino hasta 28 días después de finalizado el tratamiento. Uso Veterinario. Manténgase fuera del alcance de los niños.,WOCKHARDT ,India.,SOLFARMA PANAMA S.A,Frasco por 2.5 g.,"Equinos, Bovinos, Ovinos y Caprinos.","Carne: 28 días

No administrar a hembras lactantes cuya leche este destinada al consumo humano.",,VIGENTE,EXTRANJERO (Importado)
