expediente,nombre_establecimiento,ciudad,departamento,direccion,concepto_corto,concepto,fecha_notificacion,fecha_vencimiento
2094R,MEDICINA NUCLEAR DIAGNÓSTICA  S.A.S.,VILLAVICENCIO,META,Carrera 36 Nro. 35- 53.,Cumple,"CUMPLE CON LAS BUENAS PRACTICAS DE ELABORACION DE RADIOFARMACOS - BPER PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES:

1. ESTERILES
1.1. ELUCION DE GENERADORES (RADIONUCLIDOS) DE MOLIBDENO 99MO/TECNECIO 99MTC. 
1.1.1. LIQUIDOS: SOLUCIONES EN VIALES.

1.2. MARCACION Y DOSIFICACION DE RADIOFARMACOS CON REGISTRO SANITARIO SIGUIENDO ESTRICTAMENTE LAS INDICACIONES DEL FABRICANTE.
1.2.1. LIQUIDOS: SOLUCIONES Y SUSPENSIONES EN JERINGAS.


NOTAS ACLARATORIAS: 

1.PREPARACION MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACEUTICO PARA ATENDER UNA PRESCRIPCION MEDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGUN TIPO DE INTERVENCION TECNICA DE VARIADA COMPLEJIDAD.
2. RADIOFARMACO: PRODUCTO PREPARADO CON FINES DIAGNOSTICOS, DE MONITOREO DE ENFERMEDAD O TERAPEUTICOS CUYO EFECTO ES PRODUCIDO POR LA RADIACION, DEBIDO A QUE CONTIENEN RADIONUCLIDOS QUE EXHIBEN DESINTEGRACIONES ESPONTANEAS DEL NUCLEO INESTABLE CON EMISION DE PARTICULAS NUCLEARES O FOTONES.
3.LA ELUCION DE GENERADORES SE AUTORIZA DE ACUERDO CON LOS RADIONUCLIDOS AUTORIZADOS BAJO LA LICENCIA DEL INSTITUTO GEOLOGICO COLOMBIANO.
4.EL PRESENTE CONCEPTO INCLUYE LOS PROCESOS DE ELUCION, MARCACION Y DOSIFICACION DE LOS RADIONUCLIDOS CON LOS FARMACOS DESCRITOS ANTERIORMENTE.
5.LOS PROCESOS ESTERILES ANTERIORMENTE MENCIONADOS SE REALIZAN EN CONDICIONES ASEPTICAS..
6.EL ANTERIOR CONCEPTO TECNICO, AUTORIZA UNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACEUTICAS ANTERIORMENTE DESCRITAS.
7.LOS PRODUCTOS ELABORADOS SOLO PUEDEN SER COMERCIALIZADOS A TRAVES DE CONVENIOS O CONTRATOS ESTABLECIDOS CON OTROS SERVICIOS FARMACEUTICOS HABILITADOS DE INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD.
8.TODO CAMBIO CRITICO QUE SE HAGA Y AFECTE LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, AREAS, PROCESOS PRODUCTIVOS, PERSONAL TECNICO PRINCIPAL (DIRECTOR TECNICO) O DE LAS EMPRESAS CON LAS QUE SE CONTRATO LA REALIZACION DE ACTIVIDADES DE PRODUCCION Y CONTROL DE CALIDAD, DEBERAN SER NOTIFICADOS AL INVIMA CON EL FIN DE QUE ESTE EVALUE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACION O VERIFICACION DEL CONCEPTO TECNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA DE LAS ACCIONES A QUE HAYA LUGAR.",2024-07-09T00:00:00.000,2029-08-01T00:00:00.000
1793S,UNIDAD ONCOLOGICA SURCOLOMBIANA S.A.S.,NEIVA,HUILA,CALLE 9 No. 13-24 Altico,Cumple,"CUMPLE CON LAS BUENAS PRACTICAS DE ELABORACION POR LO TANTO SE RENUEVA EL CONCEPTO TECNICO  PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES:

1.          ESTERILES
1.1.      ADECUACION Y AJUSTE DE CONCENTRACIONES DE  DOSIS DE MEDICAMENTOS ONCOLOGICOS
1.1.1.   LIQUIDOS

NOTAS ACLARATORIAS:
1. PREPARACION MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACEUTICO PARA ATENDER UNA PRESCRIPCION MEDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGUN TIPO DE INTERVENCION MEDICA DE VARIADA COMPLEJIDAD.
2. LA ADECUACION Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS ESTERILES ONCOLOGICOS ES REALIZADA EN AREAS INDEPENDIENTES Y EXCLUSIVAS.
3. LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A MEZCLA, ADECUACIONES Y AJUSTE DE CONCENTRACIONES DE DOSIS CORRESPONDEN A FORMAS FARMACEUTICAS SOLIDAS Y LIQUIDAS ESTERILES. LA PRESENTACION FINAL ES EN BOLSAS, JERINGAS E INFUSORES.
4. EL ANTERIOR CONCEPTO TECNICO AUTORIZA UNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACEUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE REQUIEREN Y NO REQUIEREN CADENA DE FRIO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCION DE MEDICAMENTOS EN DOSIS UNITARIA.
5. TODO CAMBIO CRITICO QUE SE HAGA Y AFECTE LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, AREAS, PROCESOS PRODUCTIVOS, PERSONAL TECNICO PRINCIPAL (DIRECTOR TECNICO) O DE LAS EMPRESAS CON LAS QUE SE CONTRATO LA REALIZACION DE ACTIVIDADES DE PRODUCCION Y CONTROL DE CALIDAD, DEBERAN SER NOTIFICADOS AL INVIMA CON EL FIN DE QUE ESTE EVALUE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACION O VERIFICACION DEL CONCEPTO TECNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA  DE LAS ACCIONES A QUE HAYA LUGAR.",2024-11-13T00:00:00.000,2029-01-12T00:00:00.000
1800,ESE HOSPITAL OCCIDENTE DE KENNEDY-III NIVEL,BOGOTA D.C.,BOGOTA D.C.,Transversal 74 F No. 40 B-54 Sur,Cumple,"CUMPLE CON LAS BUENAS PRÁCTICAS DE ELABORACION PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES: 

1. ESTÉRILES

1.1. NUTRICIONES PARENTERALES 
1.1.1. LÍQUIDOS

1.2. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTO SONCOLÓGICOS. 
1.2.1. LÍQUIDOS 

1.3. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS NO ONCOLÓGICOS 
1.3.1. LÍQUIDOS

2. NO ESTÉRILES

2.1. REEMPAQUE  
2.1.1. SÓLIDOS 

2.2. REENVASE
2.2.1. SÓLIDOS

NOTAS ACLARATORIAS:
1. PREPARACIÓN MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACÉUTICO PARA ATENDER UNA PRESCRIPCIÓN MÉDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGÚN TIPO DE INTERVENCIÓN TÉCNICA DE VARIADA COMPLEJIDAD.
2. LA ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS ONCOLÓGICOS ES REALIZADA EN ÁREAS INDEPENDIENTES Y EXCLUSIVAS.
3. LA ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS NO ONCOLÓGICOS Y NUTRICIONES PARENTERALES ES REALIZADA EN ÁREAS INDEPENDIENTES Y EXCLUSIVAS.
4. LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A MEZCLA, ADECUACIONES Y AJUSTE DE CONCENTRACIONES CORRESPONDEN A FORMAS FARMACÉUTICAS SÓLIDAS Y LÍQUIDAS. LA PRESENTACIÓN FINAL ES EN BOLSAS, JERINGAS, FRASCOS E INFUSORES.
5. EL ANTERIOR CONCEPTO TÉCNICO AUTORIZA ÚNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACÉUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE REQUIEREN Y NO REQUIEREN CADENA DE FRÍO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCIÓN DE MEDICAMENTOS EN DOSIS UNITARIA.
6. CUALQUIER MODIFICACIÓN QUE SE HAGA EN LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, ÁREAS, PROCESOS PRODUCTIVOS, PERSONAL TÉCNICO PRINCIPAL O DE LAS EMPRESAS CON LAS QUE SE CONTRATÓ LA REALIZACIÓN DE ACTIVIDADES CRÍTICAS DE PRODUCCIÓN Y CONTROL DE CALIDAD, DEBERÁN SER NOTIFICADAS AL INVIMA CON EL FIN DE QUE ÉSTE EVALÚE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACIÓN O VERIFICACIÓN DEL CONCEPTO TÉCNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA  DE LAS ACCIONES A QUE HAYA LUGAR.",2025-12-26T00:00:00.000,2029-01-30T00:00:00.000
1804S,UNIDAD DE ONCOHEMATOLOGICA SAS Ahora CLINICA ONCOLOGICA AURORA S.A.S.,PASTO,NARIÑO,"CARRERA 34 No. 11A-12 , BARRIO LA AURORA PASTO NARIÑO",Cumple,"CUMPLE CON LAS UENAS PRACTICAS DE ELABORACION, PARA LOS SIGUIENTES PROCESOS Y/O MEDICAMENTOS:

1. ESTÉRILES
1.1. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS ONCOLÓGICOS
1.1.1. LÍQUIDOS.
1.2. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS NO ONCOLÓGICOS
1.2.1. LÍQUIDOS.
1.3. PREPARACIÓN DE NUTRICIONES PARENTERALES
1.3.1. LÍQUIDOS.
1.3.2. 
2. NO ESTERILES
1.1. REEMPAQUE DE MEDICAMENTOS.
1.1.1. SÓLIDOS
1.2. REENVASE DE MEDICAMENTOS
1.3. SÓLIDOS.


3. NOTAS ACLARATORIAS:
1. PREPARACION MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACEUTICO PARA ATENDER UNA PRESCRIPCION MEDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGUN TIPO DE INTERVENCION TECNICA DE VARIADA COMPLEJIDAD.
2. LA ADECUACION Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS ONCOLOGICOS ES REALIZADA EN AREAS INDEPENDIENTES Y EXCLUSIVAS.
3. LA ADECUACION Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS NO ONCOLOGICOS Y NUTRICIONES PARENTERALES ES REALIZADA EN AREAS INDEPENDIENTES Y EXCLUSIVAS.
4. LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A MEZCLA, ADECUACIONES Y AJUSTE DE CONCENTRACIONES DE DOSIS CORRESPONDEN A FORMAS FARMACEUTICAS SOLIDAS Y LIQUIDAS. LA PRESENTACION FINAL ES EN BOLSAS Y JERINGAS.
5. EL ANTERIOR CONCEPTO TECNICO AUTORIZA UNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACEUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE REQUIEREN Y NO REQUIEREN CADENA DE FRIO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCION DE MEDICAMENTOS EN DOSIS UNITARIA.
6. CUALQUIER MODIFICACION QUE SE HAGA EN LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, AREAS, PROCESOS PRODUCTIVOS, PERSONAL TECNICO PRINCIPAL O DE LAS EMPRESAS CON LAS QUE SE CONTRATO LA REALIZACION DE ACTIVIDADES CRITICAS DE PRODUCCION Y CONTROL DE CALIDAD, DEBERAN SER NOTIFICADAS AL INVIMA CON EL FIN DE QUE ESTE EVALUE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACION O VERIFICACION DEL CONCEPTO TECNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA DE LAS ACCIONES A QUE HAYA LUGAR.


Y SE AMPLIA EN CAPACIDAD INSTALADA DE INFRAESTRUCTURA: PASSTROUGH EN EL ÁREA DE NO ONCOLÓGICOS, PASSTROUGH EN EL ÁREA DE ONCOLÓGICOS Y PASSTROUGH EN EL ÁREA DE NUTRICIONES PARENTERALES, RENOVACIÓN TECNOLÓGICA DE LA CABINA DE SEGURIDAD BIOLÓGICA DEL ÁREA DE ONCOLÓGICOS Y LA CABINA DE SEGURIDAD BIOLÓGICA DEL ÁREA DE NO ONCOLÓGICOS, E INDEPENDIZACIÓN DE LA EXTRACCIÓN DE AIRE EN EL ÁREA DE ONCOLÓGICOS.",2021-12-24T00:00:00.000,2027-01-24T00:00:00.000
1667S,FUNDACIÓN OFTALMOLÓGICA DE SANTANDER-FOSCAL,FLORIDABLANCA,SANTANDER,Avenida El Bosque No. 23-60 Autopista a Floridablanca,Cumple,"CUMPLE CON LAS BUENAS PRÁCTICAS DE ELABORACIÓN, POR LO TANTO, SE RENUEVA EL CONCEPTO TÉCNICO, PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES:

1. NO ESTÉRILES
1.1 REEMPAQUE DE MEDICAMENTOS: SÓLIDOS.

NOTAS ACLARATORIAS:
1. EL ANTERIOR CONCEPTO TÉCNICO AUTORIZA ÚNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACÉUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE NO REQUIEREN CADENA DE FRÍO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCIÓN DE MEDICAMENTOS EN DOSIS UNITARIA.
2. LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A REEMPAQUE, CORRESPONDEN A FORMAS FARMACÉUTICAS SÓLIDAS. LA PRESENTACIÓN FINAL ES EN BOLSAS TRASLUCIDAS Y/O NEGRAS.
3. TODO CAMBIO CRÍTICO QUE SE HAGA Y AFECTE LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, ÁREAS, PROCESOS PRODUCTIVOS, PERSONAL TÉCNICO PRINCIPAL (DIRECTOR TÉCNICO) O DE LAS EMPRESAS CON LAS QUE SE CONTRATÓ LA REALIZACIÓN DE ACTIVIDADES DE PRODUCCIÓN Y CONTROL DE CALIDAD, DEBERÁN SER NOTIFICADOS AL INVIMA CON EL FIN DE QUE ÉSTE EVALÚE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACIÓN O VERIFICACIÓN DEL CONCEPTO TÉCNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA DE LAS ACCIONES A QUE HAYA LUGAR.",2023-02-14T00:00:00.000,2028-03-22T00:00:00.000
1809S,AUDIFARMA - LOS ROSALES,PEREIRA,RISARALDA,CARRERA 9 No. 25-25,Pendiente Inspeccion,"CUMPLE CON LAS BUENAS PRÁCTICAS DE ELABORACION POR LO TANTO RENUEVA EL CONCEPTO TECNICO PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES:

1. ESTÉRILES
1.1. PREPARACION NUTRICIONES PARENTERALES 
1.1.1. LÍQUIDOS.
1.2. ADECUACIÓN, AJUSTE DE CONCENTRACION DE MEDICAMENTOS NO ONCOLOGICOS ANTIBIÓTICOS. 
1.2.1. LÍQUIDOS Y SÓLIDOS.
1.3. ADECUACIÓN, AJUSTE DE CONCENTRACION DE MEDICAMENTOS ONCOLÓGICOS. 
1.3.1. LÍQUIDOS

2. NO ESTÉRILES
2.1. RE EMPAQUE DE MEDICAMENTOS
2.1.1. SÓLIDOS

NOTAS ACLARATORIAS:
1. PREPARACIÓN MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACÉUTICO PARA ATENDER UNA PRESCRIPCIÓN MÉDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGÚN TIPO DE INTERVENCIÓN TÉCNICA DE VARIADA COMPLEJIDAD.
2. EL ANTERIOR CONCEPTO TÉCNICO, AUTORIZA ÚNICAMENTE LOS POROCESOS O ACTIVIDADES Y LAS FORMAS FARMACÉUTICAS ANTERIORMENTE DESCRITAS, LOS CUALES DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCION DE MEDICAMENTOS EN DOSIS UNITARIA.
3. CUALQUIER MODIFICACIÓN QUE SE EFECTUÉ EN LAS CONDICIONES CEETIFICADAS O EVALUADAS DURANTE LA PRESENTE AUDITORIA RESPECTO A EQUIPOS, ÁREAS, PROCESOS PRODUCTIVOS, PERSONAL TECNICO PRONCIPAL O DE LAS EMPRESAS QUE SE CONTRATÓ LA REALIZACIÓN DE LAS ACTIVIDADES CRÍTICAS DE CONTROL DE CALIDAD Y PRODUCCIÓN, DEBERÁN SER NOTIFICADAS AL INVIMA CON EL FIN DE QUE SE EVALUÉ Y VERIFIQUE SI SE REQUIERE UNA VISITA DE VERIFICACIÓN O AMPLIACIÓN DEL CONCEPTO TÉCNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA DE LAS ACCIONES A QUE HAYA LUGAR.",2018-05-25T00:00:00.000,2023-12-13T00:00:00.000
1757S,ASISFARMA TEQUENDAMA CALI,CALI,VALLE DEL CAUCA,CARRERA 41 NRO. 5C-63,Cumple,"CUMPLE CON LAS BUENAS PRACTICAS DE ELABORACION, POR LO TANTO SE RENUEVA EL CONCEPTO TECNICO PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES: 

1. ESTERILES
1.1 ADECUACION Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS ONCOLOGICOS: LIQUIDOS
1.2 ADECUACION Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS NO ONCOLOGICOS: LIQUIDOS
1.3 PREPARACION DE NUTRICIONES PARENTERALES: LIQUIDOS

NOTAS ACLARATORIAS:

1.  PREPARACION MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACEUTICO PARA ATENDER UNA PRESCRIPCION MEDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGÚN TIPO DE INTERVENCION TECNICA DE VARIADA COMPLEJIDAD.
2.  LA ADECUACION Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS ONCOLOGICOS ES REALIZADA EN AREAS INDEPENDIENTES Y EXCLUSIVAS.
3.  LA ADECUACION Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS NO ONCOLOGICOS Y NUTRICIONES PARENTERALES ES REALIZADA EN AREAS INDEPENDIENTES Y EXCLUSIVAS.
4.  LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A MEZCLA, ADECUACIONES Y AJUSTE DE CONCENTRACIONES CORRESPONDEN A FORMAS FARMACEUTICAS SOLIDAS Y LIQUIDAS. LA PRESENTACION FINAL ES EN BOLSAS, FRASCOS, JERINGAS E INFUSORES.
5.  EL ANTERIOR CONCEPTO TECNICO AUTORIZA ÚNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACEUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE REQUIEREN Y NO REQUIEREN CADENA DE FRIO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCION DE MEDICAMENTOS EN DOSIS UNITARIA.
6.  LOS PRODUCTOS ELABORADOS SOLO PUEDEN SER COMERCIALIZADOS A TRAVES DE CONVENIOS O CONTRATOS ESTABLECIDOS CON OTROS ESTABLECIMIENTOS FARMACEUTICOS AUTORIZADOS O SERVICIOS FARMACEUTICOS HABILITADOS DE INSTITUCIONES PRESTADORAS DE SERVICIOS DE SALUD.
7.  TODO CAMBIO CRITICO QUE SE HAGA Y AFECTE LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, AREAS, PROCESOS PRODUCTIVOS, PERSONAL TECNICO PRINCIPAL (DIRECTOR TECNICO) O DE LAS EMPRESAS CON LAS QUE SE CONTRATO LA REALIZACION DE ACTIVIDADES DE PRODUCCION Y CONTROL DE CALIDAD, DEBERAN SER NOTIFICADOS AL INVIMA CON EL FIN DE QUE ESTE EVALÚE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACION O VERIFICACION DEL CONCEPTO TECNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA  DE LAS ACCIONES A QUE HAYA LUGAR.",2023-09-29T00:00:00.000,2028-12-28T00:00:00.000
1712S,HOSPITAL UNIVERSITARIO HERNANDO MONCALEANO PERDOMO E.S.E.,NEIVA,HUILA,CALLE 9 Nro. 15-25,Cumple,"CUMPLE CON LAS BUENAS PRÁCTICAS DE ELABORACION, PARA LOS SIGUIENTES PROCESOS Y/O ACTIVIDADES:

1. ESTÉRILES
1.1. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS ONCOLÓGICOS: LÍQUIDOS.
1.2. ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE DOSIS DE MEDICAMENTOS NO ONCOLÓGICOS: LÍQUIDOS.
1.3. PREPARACIÓN DE NUTRICIONES PARENTERALES: LÍQUIDOS.
2. NO ESTERILES
2.1. REEMPAQUE DE MEDICAMENTOS: SÓLIDOS
2.2. REENVASE DE MEDICAMENTOS: SÓLIDOS.
2.3. PREPARACIÓN DE MAGISTRALES: LÍQUIDOS.

NOTAS ACLARATORIAS:
1. PREPARACIÓN MAGISTRAL: ES EL PREPARADO O PRODUCTO FARMACÉUTICO PARA ATENDER UNA PRESCRIPCIÓN MÉDICA, DE UN PACIENTE INDIVIDUAL, QUE REQUIERE DE ALGÚN TIPO DE INTERVENCIÓN TÉCNICA DE VARIADA COMPLEJIDAD.
2.LA ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS ONCOLÓGICOS ES REALIZADA EN ÁREAS INDEPENDIENTES Y EXCLUSIVAS.
3.LA ADECUACIÓN Y AJUSTE DE CONCENTRACIONES DE MEDICAMENTOS NO ONCOLÓGICOS Y NUTRICIONES PARENTERALES ES REALIZADA EN ÁREAS INDEPENDIENTES Y EXCLUSIVAS.
4.LOS MEDICAMENTOS DE PARTIDA QUE VAN A SER SOMETIDOS A MEZCLA, ADECUACIONES Y AJUSTE DE CONCENTRACIONES DE DOSIS CORRESPONDEN A FORMAS FARMACÉUTICAS SÓLIDAS Y LÍQUIDAS. LA PRESENTACIÓN FINAL ES EN BOLSAS, JERINGAS E INFUSORES.
5.EL ANTERIOR CONCEPTO TÉCNICO AUTORIZA ÚNICAMENTE LOS PROCESOS Y LAS FORMAS FARMACÉUTICAS ANTERIORMENTE DESCRITAS, PARA MEDICAMENTOS QUE REQUIEREN Y NO REQUIEREN CADENA DE FRÍO CON EL FIN DE CUMPLIR CON LAS DOSIS PRESCRITAS. SE REFIERE A QUE DICHOS PROCESOS DEBEN CIRCUNSCRIBIRSE AL SISTEMA DE DISTRIBUCIÓN DE MEDICAMENTOS EN DOSIS UNITARIA.
6.CUALQUIER MODIFICACIÓN QUE SE HAGA EN LAS CONDICIONES EVALUADAS Y CERTIFICADAS DURANTE LA PRESENTE AUDITORIA, RESPECTO A EQUIPOS, ÁREAS, PROCESOS PRODUCTIVOS, PERSONAL TÉCNICO PRINCIPAL O DE LAS EMPRESAS CON LAS QUE SE CONTRATÓ LA REALIZACIÓN DE ACTIVIDADES CRÍTICAS DE PRODUCCIÓN Y CONTROL DE CALIDAD, DEBERÁN SER NOTIFICADAS AL INVIMA CON EL FIN DE QUE ÉSTE EVALÚE Y VERIFIQUE SI SE REQUIERE UNA VISITA DE AMPLIACIÓN O VERIFICACIÓN DEL CONCEPTO TÉCNICO EMITIDO, DE ACUERDO CON LAS DISPOSICIONES DE LA NORMATIVIDAD SANITARIA CORRESPONDIENTE, SO PENA DE LAS ACCIONES A QUE HAYA LUGAR.",2025-08-26T00:00:00.000,2028-09-16T00:00:00.000
