0,1,2,3,4,5,6,7,8,9
Western Europe,Other Emulsifiers,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Emulsifiers,Pet Care,Tonnes,20.804,21.121,21.268,21.193,21.141,21.094
Western Europe,Fats and Oils,Pet Care,% Breakdown,06,06,06,06,06,06
Western Europe,Fats and Oils,Pet Care,Tonnes,362.263,368.945,371.982,370.967,371.528,373.014
Western Europe,Animal Fat,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Animal Fat,Pet Care,Tonnes,65.944,67.215,67.864,67.708,67.671,67.709
Western Europe,Animal Oils,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Animal Oils,Pet Care,Tonnes,31.452,31.998,32.230,32.172,32.214,32.363
Western Europe,Fatty Acids,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Fatty Acids,Pet Care,Tonnes,52.694,53.599,53.975,53.705,53.754,53.928
Western Europe,Hydrogenated Vegetable Oil,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Hydrogenated Vegetable Oil,Pet Care,Tonnes,282,289,290,291,297,305
Western Europe,Medium-Chain Triglycerides,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Medium-Chain Triglycerides,Pet Care,Tonnes,18.495,18.753,18.863,18.716,18.630,18.601
Western Europe,Vegetable Fat,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Vegetable Fat,Pet Care,Tonnes,46.103,46.963,47.342,47.253,47.363,47.609
Western Europe,Vegetable Oil,Pet Care,% Breakdown,02,02,02,02,02,02
Western Europe,Vegetable Oil,Pet Care,Tonnes,121.526,123.826,124.850,124.607,124.936,125.657
Western Europe,Waxes,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Waxes,Pet Care,Tonnes,454,534,594,652,722,811
Western Europe,Other Fats and Oils,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Fats and Oils,Pet Care,Tonnes,25.314,25.770,25.974,25.864,25.941,26.031
Western Europe,Flavours,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Flavours,Pet Care,Tonnes,82.081,83.611,84.272,84.087,84.211,84.561
Western Europe,Food/Beverage Flavours,Pet Care,% Breakdown,01,01,01,01,01,01
Western Europe,Food/Beverage Flavours,Pet Care,Tonnes,82.059,83.588,84.248,84.062,84.185,84.534
Western Europe,Other Flavours,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Flavours,Pet Care,Tonnes,22,23,24,25,26,28
Western Europe,Flavour Enhancers,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Flavour Enhancers,Pet Care,Tonnes,23.979,24.330,24.480,24.364,24.402,24.522
Western Europe,Monosodium Glutamate,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Monosodium Glutamate,Pet Care,Tonnes,4.943,5.004,5.032,5.008,5.007,4.990
Western Europe,Nucleotides,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Nucleotides,Pet Care,Tonnes,1.259,1.271,1.278,1.278,1.288,1.304
Western Europe,Hydrolysed Vegetable Protein,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Hydrolysed Vegetable Protein,Pet Care,Tonnes,9.822,9.945,9.992,9.930,9.882,9.891
Western Europe,Yeast Extract,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Yeast Extract,Pet Care,Tonnes,1.814,1.865,1.879,1.887,1.930,1.984
Western Europe,Other Flavour Enhancers,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Other Flavour Enhancers,Pet Care,Tonnes,6.141,6.245,6.299,6.261,6.296,6.352
Western Europe,Flours,Pet Care,% Breakdown,05,05,05,05,05,05
Western Europe,Flours,Pet Care,Tonnes,318.715,324.847,327.806,326.815,326.790,327.734
Western Europe,Wheat Flour,Pet Care,% Breakdown,00,00,00,00,00,00
Western Europe,Wheat Flour,Pet Care,Tonnes,23.675,24.158,24.391,24.369,24.473,24.663
