Reg_ICA,Titular,Estado,Producto,Activos,Cantidades,Indicaciones,Precauciones,Laboratorio_Productor,Pais_Origen,Importador,Empaques,Especies,Tiempo_Retiro,Tipo_Medicamento,Estado_Clean,Origen_Clasif
103-DB,INDUSTRIAS MARAVEDI CIA LTDA,VIGENTE,TINTURA DE YODO,"Cada 100 mililitros contienten:

Yodo
Yoduro de potasio","
2 g.
2,4 g.",Antiséptico de uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños. ,NOVALFARM LTDA.,Colombia.,No aplica.,Frasco plástico en PEAD color café con válvula atomizadora por 120 mL. Frasco plástico en PEAD por 120 mL. Frasco de vidrio ámbar tipo lll por 120 mL. Frasco plástico en PEAD color café por 500 mL.,No aplica.,No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
141-DB,LABORATORIOS INDUSTRIALES FARMACEUTICOS ECUATORIANOS ¨LIFE¨,VIGENTE,ETEROL,"_x000D_
Cada 100 ml de solución contiene:_x000D_
_x000D_
Fenol_x000D_
Violeta de genciana_x000D_
","
1,0 g
0,4 g","Antiséptico de uso externo. Antisepsia de ombligo, heridas quirúrgicas y por corte, marcaje y descorne..","Uso veterinario. Manténgase fuera del alcance de los niños. Producto inflamable, no perfore, ni incinere el envase.",No informa.,Ecuador.,PROCONVET S.A.,"Zonospray por 300 mL: tarro cilíndrico de aluminio 99.7%, con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 300 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                   Zonospray por 200 ml: Tarro cilíndrico de aluminio 99.7% con barniz interior epóxico provisto de válvula de aspersión y tapa de polietileno por 200 ml. Envase secundario en funda de polietileno de baja desnsidad.                                                  Rociador por 500 mL:Frasco de polietileno/PVC por 500 ml, con dispensador tipo pistola de polipropileno, vástago y válvula de polietileno.
Frasco en PEAD por 1 galón, con tapa rosca y sello de seguridad de polietileno de alta densidad.",No informa.,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
201-DB,SCHERING PLOUGH S.A.,VIGENTE,BALSAMO TEREBENE,"_x000D_
Acido cresilico_x000D_
","_x000D_
2 % p/p",Antoséptico uso externo ,Uso veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,Frascos por 240 ml.,No informa.,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
228-DB,INDUSTRIA MARAVEDI CIA,VIGENTE,JABÓN ICTIOL,"Cada 100 g. de pasta contienen:

Azufre","

1 g.",Jabón antiséptico de uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos,ARJONA S.A.S.,Colombia.,No aplica.,Pasta 60 g empacada en caja de cartón.,No informa.,No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
549-DB,TECNOQUÍMICAS S.A.,VIGENTE,VETERBIÓTICO,"
Cada  mL. de producto reconstituido contiene:

Penicilina G potásica a cristalina 
Penicilina G procaínica  cristaliana
","


100.000 U.l
300.000 U.l","En bovinos, equinos, porcinos, ovinos y caninos  para el tratamiento de infecciones producidas por Staphylococcus sp., Streptococcus sp., Bacillus anthracis, Erysipeloythrix sp., Corynebacterium sp., Clostridium sp., Fusobacterium sp., listeria sp., Nocardia sp., Actinomyces sp., Actinobacillus sp., Leptospira sp.",Uso veterinario. Manténgase fuera del alcance de los niños. Venta bajo formula del Médico Veterinario. Los animales tratados no deben sacrificarse para consumo humano hasta 10 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 72 horas después de finalizado el mismo no debe darse al consumo humano. Almacenar a temperatura inferior a 30°c. Una vez reconstituido el producto debe utilizarse en su totalidad.,VITROFARMA S.A,Colombia.,No aplica.,"Frasco ampolla de vidrio transparente tipo III por 4.000.000Ul de penicilinas totales y 1 ampolla en PEBD con agua estéril po 10 mL._x000D_
Frasco ampolla de vidrio ámbar por 8.000.000 Ul de penicilinas totales y 2 ampolas en PEBD con agua estéril cada una por 10 mL","Bovinos, Equinos, Porcinos, Ovinos y Caninos","Carne: 10 días_x000D_
Leche: 72 horas",,VIGENTE,COLOMBIA (Fabricado Nacional)
817-DB,LABORATORIOS ZOO LTDA,VIGENTE,ZOOBIOTICO,"_x000D_
Cada ml contiene:_x000D_
_x000D_
Oxitretaciclina clorhidrato","_x000D_
_x000D_
_x000D_
50 mg","En bovinos, equinos, porcinos, ovinos, caprinos, caninos y gatos para el tratamiento de infecciones producidas por Anaplasma sp., Rickettsia sp., Streptococcus sp., Clostridium sp., Escherichia coli, Pasteurella sp., Haemophilus sp., Leptospira sp., Campylobacter sp., y Listeria sp.",Los animales tratados no deben sacrificarse para consumo humano hasta 21 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 7 días después de finalizado el mismo no debe darse al consumo humano. Venta por prescripción del Médico Veterinario. Manténgase fuera del alcance de los niños. Uso veterinario.,No informa.,No informa.,No informa.,"Frascos por 10, 20, 30, 50, 100, 500 y 1000 mL","Bovinos, equinos, Porcinos, ovinos, caprinos, Caninos y gatos.","Carne: 21 días_x000D_
Leche: 168 horas ",Minerales,VIGENTE,EXTRANJERO (Importado)
935-DB,LABORATORIO LAVERLAM S.A.,VIGENTE,COMBIBAC,"
Cada dosis de 5 mL. de bacterina antes de inactivar contiene:

Clostridium chauvoei
Clostridium septicum
Pasteurella multocida","



1.5 X 10
2.5 Ul de antitoxina
2.5 x 10","Para la inmunización activa de bovinos y ovinos en buen estado de salud contra: Carbón sintomático, gangrena gaseosa o edema maligno y fiebre de embarque o pasteurelosis neumónica causada por Pasteurella multocida",Almacenra entre 3 y 7 °C. Uso veterinario. Mantener fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Frascos en PEAD por 50, 100 y 300 mL con 10, 20 y 50 dosis respectivamente.",Bovinos y Ovinos,No informa,Otros,VIGENTE,EXTRANJERO (Importado)
1029-DB,ROPSOHN LABORATORIOS S.A.S,VIGENTE,DILARVON ORAL,"Cada 100 mL de solución oral contienen:_x000D_
_x000D_
Clorhidrato de Levamisol","

3.2 g.","En bovinos, ovinos y caprinos para el control de parasitismo gastrointestinal y pulmonar ocasionado por los siguientes parásitos: Oesophagostomum sp., Bunostomum sp., Haemonchus sp., Ostertagia sp., Trichostrongylus sp., Cooperia sp., Nematodirus sp., Chabertia sp., Strongyloides sp. y parasito pulmonar Dictyocaulus sp. En porcinos para el control de parasitismo ocasionado por: Ascaris sp., Strongyloides sp., Hyostrongylus sp., Oesophagostomum sp. y parasitosis pulmonares causadas por  Metastrongylus sp.","Los animales tratados no deben ser sacrificados para consumo humano hasta 3 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 24 horas después de finalizado el mismo, no debe darse al consumo humano. Uso Veterinario. Manténgase fuera del alcance de los niños. Almacenar a temperatura no mayor a 30°C y protegido de la luz.

",Ropsohn Laboratorios S.A.S..,Colombia.,No aplica.,Almohadillas en PVC por 30 mL. Caja por 70 almohadillas en PVC de 30 mL. Sachet tetralaminado (Poliéster -PEBD-Aluminio Nylon) por 30 mL. Caja por 70 sachets tetralaminados (Poliéster -PEBD-Aluminio-Nylon) por 30 mL. Garrafa en PEAD por 1 L y por Galón.,"Bovinos, Ovinos,  Caprinos y Porcinos","Carne: 3 días_x000D_
Leche: 24 horas ",Desinfectantes,VIGENTE,COLOMBIA (Fabricado Nacional)
1186-DB,LABORATORIOS ZOO S.A.S.,VIGENTE,CANIBIOTICO CAPSULAS,"Cada cápsula contiene:_x000D_
_x000D_
Ampicilina (como ampicilina trihidrato)","_x000D_
_x000D_
250 mg.","En caninos y felinos para el tratamiento de enfermedades producidas por: Staphylococcus sp., Streptococcus sp., Corynebacterium sp., Pasteurella sp., salmonella sp., Klebsiella sp., Shigella sp., Haemophilus sp.,   Proteus sp.","Venta bajo formula del Médico Veterinario. Uso Veterinario. Manténgase fuera del alcance de los niños. Consérvese en un lugar fresco, seco y protegido de la luz, a temperatura inferior a 30°C.",Genmed S.A.,Colombia.,No aplica.,"Blíster con película transparente en PVC por 10 Cápsulas, contenidas en caja plegadiza por un blíster.",Caninos y Felinos,No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1347-DB,LABORATORIOS ERMA S.A.,VIGENTE,JABON PIOJIDERMA,"Cada pasta contiene:

Ictiol",0.05,Jabón antiséptico para caninos.,Manténgase fuera del alcance de los niños.  Uso Veterinario.,No informa.,No informa.,No informa.,Pastas por 70 g. empacadas en cajas de cartón.,Caninos,No aplica.,Diuréticos,VIGENTE,EXTRANJERO (Importado)
1378-DB,LABORATORIOS ZOO S.A.S.,VIGENTE,MAIZ ANTIBIOTICO (TABLETAS),"Cada tableta contiene:_x000D_
_x000D_
Ampicilina trihidrato","_x000D_
_x000D_
11,54 mg.","En aves (pollos de engorde, aves de reemplazo, gallos, pavos, patos, gansos, codornices y aves ornamentales para el tratamiento de infecciones ocasionadas por: Haemophilus sp., Staphylococcus sp., Streptococcus sp., Corynebacterium sp., Pasteurella sp., Shigella sp., Proteus sp., y Klebsiella sp.","Venta bajo formula del Médico Veterinario. Uso Veterinario. Las aves tratadas no deben sacrificarse para consumo humano hasta 5 días después de finalizado el tratamiento. Manténgase fuera del alcance de los niños. Consérvese en lugar fresco, seco y protegido de la luz, a temperatura inferior a 30°C.",Genmed  S.A.,Colombia.,No aplica.,Caja de cartón conteniendo 50 sobres de papel pouch por 10 tabletas cada uno.,Aves,5 días,Vitaminas,VIGENTE,COLOMBIA (Fabricado Nacional)
1421-DB,ROPSOHN LABORATORIOS S.A.S.,VIGENTE,DILARVON AVICOLA,"
Cada 100 g. de polvo oral para reconstituir contienen:

Levamisol clorhidrato (equivalente a 39,2 g de levamisol base)","


46,2 g.","En aves para el tratamiento de infestación ocasionada por los siguientes parásitos gastrointestinales y traqueales: Ascaridia galli, Heterakis gallinarum, Capillaria obsignata y Syngamus trachea.",Uso Veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Venta bajo fórmula del Médico Veterinario. Las aves tratadas no deben sacrificarse para consumo hasta setenta y dos (72) horas después de finalizado el tratamiento. Conserve el producto en un lugar protegido de la luz solar directa a una temperatura menor a 30°C.,ROPSOHN LABORATORIOS S.A.S.,Colombia.,No aplica.,"Sobre trilaminado (Poliéster/foil de aluminio/PEBD) por 10 o 100 g;
Caja plegadiza que contiene cinco (5) sobres en trilaminado (Poliéster/foil de aluminio/PEBD) por 10 g cada sobre.",Aves.,Carne: 3 días,Desinfectantes,VIGENTE,COLOMBIA (Fabricado Nacional)
1444-DB,LABORATORIOS VM S.A.S. VITAMINAS Y MINERALES PARA GANADERIA S.A.S.,VIGENTE,CHAMPÚ V.M.,"
Cada 100 mL. de champú contienen:

Irgasan DP 300","


0,5 g.","En caballos, perros y gatos como champú medicado. Coadyuvante en el tratamiento de afecciones de la piel.",Manténgase fuera del alcance de los niños. Uso Veterinario. ,Laboratorios V.M. S.A.S,Colombia.,No aplica.,"Frascos en PVC transparente por 250 mL
Frascos en polietileno de alta densidad por 1850 mL","Equino, Caninos y Felinos",No aplica.,Ionóforos,VIGENTE,COLOMBIA (Fabricado Nacional)
1445-DB,LABORATORIOS VM S.A.S. VITAMINAS Y MINERALES PARA GANADERIA S.A.S.,VIGENTE,JABON V.M,"
Cada 100 g. de pasta contienen:

2,4,4 tricloro, 2 hidroxifenil éter ( Irgasan Dp 300)","


1,0 g.",Jabón medicado para caninos. Coadyuvante en el tratamiento de afecciones de la piel.,Manténgase fuera del alcance de los niños. Uso Veterinario. ,Laboratorios  V.M S.A.S,Colombia.,No aplica.,Pasta de 90 g en caja de cartón cartulina.,Caninos,No aplica.,Biológicos,VIGENTE,COLOMBIA (Fabricado Nacional)
1467-DB,SYNTEX AGRIBUSINES INC.,VIGENTE,SYNATHIC,"_x000D_
Cada 100 mL contienen:_x000D_
_x000D_
Oxfendazole","_x000D_
_x000D_
_x000D_
2,26 g","Activo contra parásitos gastrointestinales y pulmonares en bovinos, ovinos y caprinos, tanto en formas adultas como larvas y huevos de: Ostertagia sp., Trichostrongylus sp., Dictyocaulus sp., Nematodirus sp., Cooperia sp., Oesophagostomum sp., Haemonchus sp., Chabertia sp., Bunostomum sp., y Moniezia sp.",Mantener fuera del alcance de los niños. No administrar durante los 10 días anteriores al sacrificio de los animales para el consumo humano. La leche de animales tratados solo se puede dar a consumo humano 5 días después de terminado el tratamiento.,No informa.,No informa.,No informa.,"Cojines por 35 mL en cajas de 10 unidades. Envases por 1, 2 o 3,5 L. Envases por 100 mL","Bovinos, Ovinos y Caprinos","Carne: 10 días_x000D_
Leche: 120 horas_x000D_
",Antisépticos,VIGENTE,EXTRANJERO (Importado)
1556-DB,FARMAGAN COLOMBIA S.A.S.,VIGENTE,DEXTROSA AL 10 % EN AGUA DESTILADA,"
Cada 100 mL. de solución inyectable contienen:

Dextrosa anhidra USP","


10 g.","En equinos y bovinos en deshidratación pre y post-operatorio, acetonemias y coadyuvante en el shock quirúrgico traumático. Coadyuvante en el tratamiento de la hipoglicemia en equinos y bovinos.",Manténgase fuera del alcance de los niños. Uso veterinario,PROQUIVET LTDA,Colombia.,No aplica.,Tarro en polipropileno por 120 y 300 g,Equinos y Bovinos,No requiere,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1565-DB,FARMAGAN COLOMBIA S.A.S.,VIGENTE,SHAMPOO,"Cada 100 mL. de shampoo contienen:

Lauril éter sulfato sódico
Cloruro de sodio","


    40 g.
     3 g.",En caninos para limpieza del pelo y de la piel,Manténgase fuera del alcance de los niños. Uso veterinario,PROQUIVET LTDA,Colombia.,No aplica.,Frascos en PEAD por 250 mL,Caninos.,No aplica.,Ionóforos,VIGENTE,COLOMBIA (Fabricado Nacional)
1567-DB,MALLINCKRODT  VETERINARIA S.A.,VIGENTE,IODRON,"_x000D_
_x000D_
Iodophor concentrado (12.8%)_x000D_
(Yodo disponible 2.5 p/p)_x000D_
Ácido fosfórico (85%)","_x000D_
_x000D_
    15 %_x000D_
_x000D_
 35.5 %",Desinfectante de uso externo.,Uso Veterinario. No usar simultáneamente con otras sustancias químicas para desinfectar o limpiar. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Frascos por 1.000 mL, envases por 19 litros.",No aplica.,No aplica.,Cosméticos,VIGENTE,EXTRANJERO (Importado)
1677-DB,OPTIVET FARMACÉUTICA LTDA,VIGENTE,SHINE SHAMPOO,"_x000D_
Cada 100 mililitros de champú contienen:_x000D_
_x000D_
Lauril éter sulfato de sodio_x000D_
Dietanolamida de ácido graso de coco","_x000D_
_x000D_
  _x000D_
    30 g_x000D_
   1,5 g","En equinos y perros para la limpieza y preservación del pelo. Útil para limpiar, brillar y suavizar el pelo sin mancharlo.",Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,"Cojines en PVC por 30 y 90 mililitros. 
Envases en PET por 120, 250 y 500 mililitros. 
Garrafa en PEAD por 1900 y 3800 mililitros.",Caninos y Equinos.,No informa,Vitaminas y minerales,VIGENTE,EXTRANJERO (Importado)
1680-DB,ELECTROQUIMICA WEST S.A.,VIGENTE,MICRODYNE,"
Cada 100 mL de solución contiene:

Complejo yodo polietiletoxi polipropoxi polietoxi etanol (equivalente a 1 g de yodo disponible) ","



     6 g",Antiséptico uso externo.,Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Evite el contacto directo con las mucosas y los ojos. Manténgase a una temperatura inferior a 30°C y protegido de la luz.,ELECTROQUIMICA WEST S.A.,Colombia.,No aplica.,"Envase PEAD redondo con válvula trigger blanca y azul por 480 mL. 
Envase PEAD cuadrado blanco con tapa galón con linner de contacto azul por 3.785 mL.",No aplica.,No aplica.,Cosméticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1681-DB,SHERING PLOUGH S.A.,VIGENTE, SINGLVAX. VACUNA CONTRA NEW CASTLE LIOFILIZADA,"_x000D_
Cada dosis contiene:_x000D_
_x000D_
Virus de Newcastle, Cepa la Sota","_x000D_
_x000D_
_x000D_
10 ⁵·⁵  DIE₅₀","Inmunización activa de las aves contra la enfermedad de Newcastle, por aplicación ocular, en el agua de bedida o por rociado.",No vacunar dentro de los 21 días antes del sacrificio. El método por rociado solo se debe emplear en aves libres de Mycoplasma y E. coli. No se debe emplear este método en explotaciones en jaula o en sistemas abiertos. Uso veterinario. manténgase fuera del alcance de los niños. El rotulado consigna instrucciones sobre el manejo del producto.,No informa.,No informa.,No informa.,Frascos viales por 2.500 dosis,Aves,,Antisépticos,VIGENTE,EXTRANJERO (Importado)
1682-DB,SCHERING PLOUGH S.A.,VIGENTE,NEWVAX ( VACUNA CONTRA NEWCASTLE LIOFILIZADA),"_x000D_
Cada dosis contiene:_x000D_
_x000D_
Virus vivo de Newcastle, cepa B1","_x000D_
_x000D_
_x000D_
10⁵·⁵ DIE ₅₀",Inmunización activa de las aves contra la enfermedad de Newcastle,No deben sacrificarse aves para el consumo hasta 21 días después de vacunadas. Uso Veterinario. Manténgase fuera del alcance de los niños.,No informa.,No informa.,No informa.,Frascos vial por 2.500 dosis.,Aves,No informa,Antisépticos,VIGENTE,EXTRANJERO (Importado)
1747-DB,"EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS S.A.  ""VECOL""",VIGENTE,PIREGAN,"Cada litro de solución de uso externo contiene:

Cipermetrina técnica","

150 g",En bovinos para el control de garrapatas Boophilus microplus y Amblyomma cajennense y de moscas hematófagas: Liperosia irritans y Stomoxys calcitrans.,"CATEGORÍA TOXICOLÓGICA ll: ALTAMENTE TOXICO. Uso veterinario. Manténgase fuera del alcance  de los niños. Los animales tratados no deben sacrificar para consumo humano hasta 2 días después de finalizado el tratamiento. La leche producida durante el tratamiento y 24 horas después de finalizado el mismo, no debe darse al consumo humano.",No informa. ,No informa.,No informa.,"Frascos de vidrio Pilfer tipo lll por 20, 500 y 1000 mL. 
Caja de 12 frascos por 20 mL.",Bovinos.,"Carne: 2 días_x000D_
Leche: 24 horas",Antisépticos,VIGENTE,EXTRANJERO (Importado)
1780-DB,NOCAR LTDA,VIGENTE,DENTICAN DENTIFRICO,"Cada 100 g. contiene:
Jabon en polvo (jabonduro N.F)","
270 mg.","Para la limpieza de los dientes en caninos, felinos, equinos y bovinos.",Uso veterinario. Mantengase fuera del alcance de los niños.,No informa.,No informa.,No informa.,Envases plasticos por 75 y 150 g.,"Caninos, Felinos, Equinos y Bovinos",No aplica.,Productos con categoría toxicológica,VIGENTE,EXTRANJERO (Importado)
1821-DB,ELECTROQUIMICA WEST S.A.,VIGENTE,MICRODYNE JABON,"Cada 100 mL. de solución contienen:

Complejo yodo polxamer  (equivalente a 1 g. de yodo disponible) ","


45 g.",Antiséptico y desinfectante de uso externo,Manténgase fuera del alcance de los niños. Uso veterinario,ELECTROQUIMICA WEST S.A,Colombia.,No aplica.,"Envases en PEAD por 60, 120, 240 y 500 mL y 1 L_x000D_
Galones en PEAD por 3.785 ml Y 4 l_x000D_
Tambores en PEAD por 20 y 60 L",No aplica.,No aplica.,,VIGENTE,COLOMBIA (Fabricado Nacional)
1875-DB,LABORATORIOS V.M S.A.S. VITAMINAS Y MINERALES PARA GANADERIA S.A.S.,VIGENTE,TRIMENDIAZINA SUSPENSION ORAL,"Cada 100 mL contienen:

Sulfadiazina sódica USP
Trimezoprim USP (micronizado)","

40 g
8 g","En pollos, pavos y cerdos para el tratamiento de enfermedades infecciosas  producidas por: Haemophilus sp., Pasteurella sp.,  Fusobacterium sp., Escherichia coli, Shigella sp., Streptococcus sp., Staphylococcus sp., Actinobacillus p., Corynebacterium sp., Campylobacter sp.",Los animales tratados no deben sacrificarse para consumo humano  dentro de los 5 siguientes a la finalización del tratamiento. Venta bajo fórmula del médico veterinario. Mantener fuera del alcance de los niños. Uso veterinario.,LABORATORIOS V.M. S.A.S. VITAMINAS Y MINERALES PARA GANADERIA,Colombia.,No aplica.,"Frascos por 50, 100, 200 y 500 mL_x000D_
Envase plástico por 1 L",Aves y Porcinos.,5 días,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1905-DB,CALOX DE COASTA RICA S.A.,VIGENTE,VETYDERMA CHAMPÚ MEDICADO,"Cada 100 mL. de shampoo medicado contiene:

Lauril éter sulfato de sodio
Irgasan DP 300
Dietanolamina de ácido graso de coco","

12,5 g.
0,20 g.
3,50 g.",Champú medicado,Uso veterinario. Manténgase fuera del alcance de los niños. Consérvese en un lugar seco y protegido de la luz.,VICAR FARMACEUTICA S.A.,Colombia.,No aplica.,"Frasco en PEAD por 60, 120, 200, 250, 750, 1000 mL , 1.5, 2 y 4 L",Caninos y Felinos,No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
1928-DB,LABORATORIOS ZOO LTDA.,VIGENTE,ZOO DERMIN SHAMPOO,"Cada 100 mL. contiene:

Lauril éter sulfato sódico
Dietanolamina de ácido graso de coco
Formaldehído al 37%
","

30 g.
4 g.
0,5 mL.",Shampoo para caninos,Manténgase fuera del alcance de los niños. Uso veterinario,Laboratorios ZOO S.A.S,Colombia.,No aplica.,"Envase plástico por 260 y 2.250 mL_x000D_
Envase plástico por 125 mL",Caninos,No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
2029-DB,VIRBAC COLOMBIA LTDA,VIGENTE,SHAMPOO MASCOTT,"Cada 100 mL. contienen:

Polivinilpirrolidona yodado
Texapon N-70 (lauril éter sulfato sódico)
Comperland KD (dietanolamina del ácido graso de coco)
Alantoína
Perfume (aroma de heno)","

5 g.
7,7 g.
3 g.

0,200 g.
0,500 g.","Shampoo medicado coadyuvante en el tratamiento de afecciones de la piel. Proporciona limpieza, brillo y suavidad al pelo",Manténgase fuera del alcance de los niños. Protéjase de la luz y calor excesivo. Evite el contacto de los ojos. Uso veterinario.,SYNTHESIS SAS,Colombia.,No aplica.,"Frasco en PEAD por 240, 250 y 500 mL. Garrafa en PEAD por 1000 y 2000 mL. Cojines en PVC por 30 mL",No aplica.,No aplica.,Antibióticos,VIGENTE,COLOMBIA (Fabricado Nacional)
2123-DB,MSD SALUD ANIMAL S.A.S.,VIGENTE,NAQUASONE,"Cada mL de solución inyectable contiene:

Dexametasona
Triclorometiazida","

0,5 mg
10 mg",En ganado bovino para el tratamiento de edema fisiológico de la glándula mamaria y estructuras asociadas durante el posparto. En bovinos y equinos en afecciones edematosas inflamatorias y no inflamatorias.,"Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos. Venta bajo fórmula del Médico Veterinario. Los animales tratados no deben sacrificarse para consumo humano hasta veintiún (21) días después de finalizado el tratamiento. La leche producida durante el tratamiento y hasta setenta y dos (72) horas después de finalizado el mismo no debe darse al consumo humano. La duración del tratamiento no debe exceder los tres (3) días. No debe administrarse en el último tercio de la gestación. El uso prolongado de Dexametasona en dosis más altas a la recomendada puede producir efectos secundarios como enmascarar señales de infección, retardado en la cicatrización de heridas, posible disminución de la resistencia a infecciones bacterianas y micóticas. Consérvese a una temperatura inferior a 30°C.",TRIRX SEGRE.,Francia.,MSD SALUD ANIMAL S.A.S.,"Caja plegadiza que contiene un frasco en vidrio traslúcido tipo I con tapón en goma y sello en aluminio por 5, 10, 20, 50, 100 o 200 mL.",Bovinos y Equinos.,"Carne: 21 días
Leche: 72 horas",Desinfectantes,VIGENTE,EXTRANJERO (Importado)
2125-DB,PROQUIVET S.A.S,VIGENTE,LEVAMISOL 7.5% INYECTABLE,"Cada mL de solución inyectable contiene:

Clorhidrato de Levamisol HCL","

75 mg","En bovinos, porcinos, ovinos y caprinos para el tratamiento de infecciones causadas por: Haemonchus sp., Ostertagia sp., Trichostrongylus sp., Strongyloides sp., Bunostomum sp., Nematodirus sp., Toxocara sp., Chabertia sp., Cooperia sp., Oesophagostomum sp., y Dictycaulus sp.","Uso veterinario. Venta bajo fórmula de Médico Veterinario. Manténgase fuera del alcance de los niños y los animales domésticos. Los animales tratados no deben sacrificarse para consumo humano hasta tres (3) días después de finalizado el tratamiento. La leche producida durante las veinticuatro (24) horas siguientes al tratamiento no debe darse al consumo humano. Manténgase protegido del calor y la luz, almacénese a temperatura inferior a 30°C.",GDI PHARMA CENTRO S.A.S.,Colombia.,No aplica.,"Caja plegadiza que contiene frasco ámbar en vidrio tipo I, con tapón de caucho y agrafe de alumino por 20, 100, 250 o 500 mL.","Bovinos, Caprinos,  Ovinos y Porcinos.","Carne: 3 días
Leche: 24 horas",Desinfectantes,VIGENTE,COLOMBIA (Fabricado Nacional)
2143-DB,VIRBAC COLOMBIA LTDA,VIGENTE,EXPOSHAMPOO,"Cada 100 mL. contienen:

Lauril éter sulfato sódico
Dietanolamida del ácido graso de coco
Alantoína
Perfume ( aroma de heno)","

15 g.
5 g.
0,8 g.
0,8 g.","Limpieza, brillo, suavidad y fragancia del pelo del caballo y otros animales de exposición.","Consérvese en lugar fresco, seco y protegido de la luz. Uso veterinario. Manténgase fuera del alcance de los niños.",Laboratorios SYNTHESIS S.A.S,Colombia.,No aplica.,Cojines en PVC por 30 mL. Frasco en PEAD por 240 y 2000 mL.,Equinos,No aplica.,Agua,VIGENTE,COLOMBIA (Fabricado Nacional)
2217-DB,LABORATORIOS EDO S.A.S.,VIGENTE,EDO T-6,"Cada 10 mL. de solución inyectable contienen:

Tiamina HCl (Vitamina B1)
Riboflavina base (Vitamina B2)
Piridoxina HCl/ (Vitamina B6)
Nicotinamida
Cianocobalamina (Vitamina B12)","


250 mg.
20 mg.
20 mg.
200 mg.
200 ug.","Los bovinos, caprinos, ovinos, equinos, perros y gatos para el tratamiento de las deficiencias de las vitaminas presentes en la formulación.",Manténgase fuera del alcance de los niños. Uso veterinario.,Laboratorios  EDO S.A.S,Colombia.,No aplica.,"Frasco ámbar tipo I por 50, 100, 250 y 500 mL","Bovinos, Caprinos, Ovinos, Equinos, Caninos y Felinos",No requiere,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
2235-DB,COOPERS COLOMBIA S.A,VIGENTE,ANCARIS N.F,"Cada 100 ml. contiene:_x000D_
_x000D_
Mebendazol","_x000D_
_x000D_
2 g","En perros y gatos para el tratamiento de infestaciones gastrointestinales ocasionadas por Toxocara canis, Ancylostoma canimum, Toxocaris leonina, Trichuris vulpis, Taenia pisiformis y Dipylidium canium.",Manténgase fuera del alcance de los niños. Uso veterinario.,No informa.,No informa.,No informa.,Frascos por 50 ml.,Caninos y Felinos.,No aplica.,Antisépticos,VIGENTE,EXTRANJERO (Importado)
2243-DB,OPTIVET FARMACÉUTICA S.A.S.,VIGENTE,VITAFOR-B,"Cada 100 mL de solución inyectable contienen:

Cianocobalamina (Vit B12)
Tiamina HCl 
Niacinamida  
Riboflavina 5 - fosfato ","

5 mg
  1  g
 10 g
0,3 g","En bovinos, equinos, porcinos, ovinos, caprinos, perros y gatos para deficiencias de las vitaminas incluidas en la composición. Favorece la síntesis de glóbulos rojos y hemoglobina recuperando animales anémicos.","Uso veterinario. Manténgase fuera del alcance de los niños y animales domésticos. No exceder la dosis ni la duración del tratamiento recomendado. No usar en casos de hipersensibilidad a los principios activos. Conservar a temperatura inferior a 30°C, protegido de la luz solar. ",LABORATORIOS LIXMAR S.A.S. / LABORATORIOS DEMAC LTDA. ,Colombia.,No aplica.,"Caja plegadiza que contiene un frasco de vidrio ámbar tipo l con tapón de caucho en bromobutilo gris y agrafe de aluminio plateado con tapa plástica por 30, 50 o 100 mL.
Caja plegadiza que contiene un frasco de vidrio ámbar tipo I con tapón de caucho en bromobutilo gris y agrafe de aluminio plateado por 250 o 500 mL.  ","Bovinos, Caninos, Caprinos, Equinos, Felinos, Ovinos y Porcinos. ",No aplica.,Antisépticos,VIGENTE,COLOMBIA (Fabricado Nacional)
